No,Date,DateOfWeek,Eat In,TotalNetSales,Forecast,VarianceÂ (NetÂ SalesÂ -Â LastÂ Year),Is_Holiday,Holiday_Name,temp,feelslike,conditions,description,icon
814,08/08/2023,Tue,3113.5,3389.7,3095.0,964.38,0,,15.0,15.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
815,09/08/2023,Wed,2839.45,3169.78,3500.0,1003.74,0,,18.1,18.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
816,10/08/2023,Thu,2240.64,2800.7,3200.0,367.74,0,,18.9,18.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
817,11/08/2023,Fri,3114.36,3649.07,4200.0,642.9,0,,19.2,19.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
818,12/08/2023,Sat,4423.43,4903.64,4800.0,1417.57,0,,16.8,16.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
819,13/08/2023,Sun,2416.27,2606.16,2600.0,228.65,0,,16.6,16.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
820,14/08/2023,Mon,2971.42,3043.45,0.0,86.87,0,,16.8,16.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
821,15/08/2023,Tue,2142.77,2356.31,0.0,-1073.79,0,,16.5,16.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
822,16/08/2023,Wed,2334.24,2555.09,0.0,-1191.37,0,,17.5,17.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
823,17/08/2023,Thu,2289.1,2905.88,0.0,-953.76,0,,18.2,18.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
824,18/08/2023,Fri,3221.64,3760.2,0.0,540.73,0,,18.4,18.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
825,19/08/2023,Sat,4572.72,5094.15,0.0,1012.04,0,,18.4,18.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
826,20/08/2023,Sun,2033.83,2210.44,0.0,-271.75,0,,17.3,17.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
827,21/08/2023,Mon,2268.37,2544.11,0.0,-742.52,0,,17.4,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
828,22/08/2023,Tue,1976.91,2162.8,0.0,-554.26,0,,17.7,17.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
829,23/08/2023,Wed,2403.49,2824.15,0.0,-635.98,0,,17.9,17.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
830,24/08/2023,Thu,1508.49,1778.28,0.0,-2327.72,0,,17.5,17.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
831,25/08/2023,Fri,3231.57,3984.26,0.0,576.84,0,,13.5,13.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
832,26/08/2023,Sat,4039.07,4344.56,0.0,253.99,0,,13.9,13.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
833,27/08/2023,Sun,1810.61,2097.27,0.0,-229.17,0,,13.9,13.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
834,28/08/2023,Mon,2152.02,2365.38,0.0,-1223.8,0,,15.1,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
835,29/08/2023,Tue,2191.43,2375.8,0.0,-451.31,0,,14.5,14.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
836,30/08/2023,Wed,2964.36,3154.93,0.0,-470.94,0,,13.6,13.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
837,31/08/2023,Thu,3830.33,4508.29,0.0,1689.99,0,,13.5,13.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
838,01/09/2023,Fri,2695.77,3254.79,0.0,147.1,0,,17.2,17.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
839,02/09/2023,Sat,3129.93,3697.63,0.0,-2152.52,0,,17.2,17.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
840,03/09/2023,Sun,2195.12,2453.93,0.0,242.1,0,,18.6,18.6,Clear,Clear conditions throughout the day.,clear-day
841,04/09/2023,Mon,2071.32,2342.16,0.0,-55.52,0,,21.4,21.5,Clear,Clear conditions throughout the day.,clear-day
842,05/09/2023,Tue,1251.19,1755.31,0.0,-341.22,0,,20.8,20.9,Clear,Clear conditions throughout the day.,clear-day
843,06/09/2023,Wed,1469.85,1882.74,0.0,-1119.82,0,,21.7,21.9,Clear,Clear conditions throughout the day.,clear-day
844,07/09/2023,Thu,1537.88,1944.54,0.0,-63.37,0,,23.2,23.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
845,08/09/2023,Fri,1726.17,2461.71,0.0,-697.62,0,,22.4,22.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
846,09/09/2023,Sat,3231.61,3847.2,0.0,-1779.03,0,,22.6,23.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
847,10/09/2023,Sun,2526.55,2904.37,0.0,972.63,0,,20.9,20.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
848,11/09/2023,Mon,1241.81,1445.64,2269.63,-422.03,0,,19.0,19.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
849,12/09/2023,Tue,1584.23,1851.25,2201.16,-69.66,0,,17.3,17.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
850,13/09/2023,Wed,1710.93,2020.58,2210.0,7.04,0,,15.0,15.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
851,14/09/2023,Thu,1847.33,2238.07,2285.0,-48.02,0,,15.3,15.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
852,15/09/2023,Fri,2394.73,2798.05,3626.03,-690.78,0,,16.1,16.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
853,16/09/2023,Sat,5162.4,5909.15,5535.38,309.78,0,,15.2,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
854,17/09/2023,Sun,3187.09,3271.55,2812.06,309.47,0,,16.6,16.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
855,18/09/2023,Mon,1878.01,2111.46,2500.0,2111.46,0,,15.4,15.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
856,19/09/2023,Tue,2007.48,2371.6,2500.0,655.22,0,,15.5,15.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
857,20/09/2023,Wed,2479.91,2749.74,2800.0,931.23,0,,15.6,15.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
858,21/09/2023,Thu,1564.63,2045.98,2800.0,-245.88,0,,12.1,11.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain
859,22/09/2023,Fri,2593.04,3527.87,3700.0,175.71,0,,10.9,10.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
860,23/09/2023,Sat,4743.28,6196.89,5500.0,2582.91,0,,11.6,11.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
861,24/09/2023,Sun,2499.82,3063.29,3200.0,208.38,0,,16.2,16.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
862,25/09/2023,Mon,1960.83,2420.86,2300.0,307.53,0,,15.7,15.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
863,26/09/2023,Tue,1336.7,1952.83,2500.0,-556.98,0,,15.6,15.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
864,27/09/2023,Wed,2348.48,2887.03,2600.0,221.02,0,,15.6,15.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
865,28/09/2023,Thu,1707.58,2369.87,2600.0,-456.79,0,,15.1,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
866,29/09/2023,Fri,2284.47,3368.48,3800.0,-473.93,0,,14.5,14.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
867,30/09/2023,Sat,4879.16,6316.84,6000.0,-610.71,0,,14.3,14.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
868,01/10/2023,Sun,2718.86,3466.83,3300.0,145.1,0,,17.9,17.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
869,02/10/2023,Mon,2003.99,2541.23,2200.0,457.88,0,,16.2,16.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
870,03/10/2023,Tue,1369.68,1887.23,2200.0,-147.17,0,,13.1,13.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
871,04/10/2023,Wed,1235.36,2182.86,2295.93,59.07,0,,13.2,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
872,05/10/2023,Thu,2072.58,2925.37,2300.0,1057.68,0,,13.9,13.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
873,06/10/2023,Fri,2347.56,3810.33,3800.0,88.04,0,,15.8,15.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
874,07/10/2023,Sat,3724.43,5638.88,6500.0,-989.73,0,,15.7,15.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
875,08/10/2023,Sun,2178.63,2675.64,3200.0,-401.54,0,,17.1,17.1,Clear,Clear conditions throughout the day.,clear-day
876,09/10/2023,Mon,1255.38,1573.42,0.0,-483.41,0,,16.0,16.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
877,10/10/2023,Tue,1356.83,1901.02,0.0,-107.8,0,,14.5,14.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
878,11/10/2023,Wed,1236.73,2101.91,0.0,-8.79,0,,16.3,16.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
879,12/10/2023,Thu,1418.65,2275.64,0.0,-374.05,0,,13.0,13.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
880,13/10/2023,Fri,1566.91,2480.26,0.0,-1649.19,0,,15.5,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
881,14/10/2023,Sat,4988.99,6419.69,0.0,-12.68,0,,9.0,7.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
882,15/10/2023,Sun,1904.11,2251.97,0.0,-1011.29,0,,6.3,5.0,Clear,Clear conditions throughout the day.,clear-day
883,16/10/2023,Mon,1523.04,1938.98,2400.0,-338.97,0,,6.6,4.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
884,17/10/2023,Tue,1377.58,1856.61,2000.0,367.79,0,,10.7,9.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
885,18/10/2023,Wed,1687.84,2255.04,2500.0,-514.27,0,,11.6,11.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
886,19/10/2023,Thu,1774.46,2363.72,2600.0,-554.16,0,,15.1,15.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
887,20/10/2023,Fri,3290.18,4359.05,4500.0,-1002.58,0,,13.5,13.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
888,21/10/2023,Sat,4698.3,6002.53,6100.0,171.71,0,,10.8,10.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
889,22/10/2023,Sun,2306.1,2831.48,3300.0,-361.78,0,,9.9,9.4,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain
890,23/10/2023,Mon,3078.26,3542.34,3500.0,-158.5,0,,11.2,10.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
891,24/10/2023,Tue,2679.68,3233.46,4200.0,-1615.39,0,,10.5,10.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
892,25/10/2023,Wed,2672.0,3504.24,4200.0,-816.27,0,,10.0,8.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
893,26/10/2023,Thu,2644.09,3417.32,3800.0,-1650.44,0,,11.6,11.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
894,27/10/2023,Fri,2837.03,3843.38,4500.0,-1323.22,0,,10.2,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
895,28/10/2023,Sat,4328.32,5580.14,5500.0,-286.54,0,,11.2,10.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
896,29/10/2023,Sun,2944.65,3396.46,3000.0,74.35,0,,10.5,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
897,30/10/2023,Mon,1892.92,2254.62,2600.0,-441.9,0,,10.8,10.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
898,31/10/2023,Tue,1595.2,2067.35,3200.0,-1708.52,0,,11.1,10.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
899,01/11/2023,Wed,2793.98,3715.54,3000.0,686.48,0,,11.3,10.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
900,02/11/2023,Thu,2654.8,3429.75,3000.0,306.78,0,,9.3,6.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
901,03/11/2023,Fri,3121.99,4068.39,4300.0,-505.54,0,,9.0,7.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
902,04/11/2023,Sat,3554.46,5020.82,6000.0,-1046.98,0,,9.0,7.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
903,05/11/2023,Sun,2119.8,2562.87,3500.0,-1264.88,0,,9.4,7.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
904,06/11/2023,Mon,1446.21,1787.78,2600.0,-838.69,0,,8.7,7.1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain
905,07/11/2023,Tue,1771.49,2247.93,3000.0,-1048.52,0,,8.2,6.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
906,08/11/2023,Wed,2149.52,2622.75,3000.0,-573.74,0,,9.3,8.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
907,09/11/2023,Thu,2291.18,2733.38,3000.0,-479.73,0,,8.0,5.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
908,10/11/2023,Fri,3209.96,4226.74,5000.0,-1330.29,0,,7.5,4.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
909,11/11/2023,Sat,5019.28,6384.36,6800.0,-713.18,0,,6.2,4.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
910,12/11/2023,Sun,2846.25,3352.58,3300.0,-1.33,0,,8.3,6.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
911,13/11/2023,Mon,2579.01,3085.52,2500.0,524.42,0,,12.3,12.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
912,14/11/2023,Tue,2028.97,2578.79,2500.0,-638.79,0,,10.7,10.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
913,15/11/2023,Wed,2336.77,2960.47,3000.0,-533.34,0,,8.8,7.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain
914,16/11/2023,Thu,2382.82,2994.56,3000.0,-387.52,0,,6.5,4.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
915,17/11/2023,Fri,3428.81,4255.32,4800.0,-852.7,0,,7.2,6.0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain
916,18/11/2023,Sat,5214.01,6278.38,6500.0,-1075.52,0,,12.8,12.6,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
917,19/11/2023,Sun,2841.53,2914.19,3300.0,-351.16,0,,11.5,11.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
918,20/11/2023,Mon,2384.36,2802.75,3000.0,-500.39,0,,10.2,9.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
919,21/11/2023,Tue,1762.28,2814.58,3000.0,65.55,0,,8.9,6.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
920,22/11/2023,Wed,2434.2,2910.03,3200.0,-951.39,0,,8.0,7.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
921,23/11/2023,Thu,2884.17,3441.23,3200.0,-777.4,0,,10.6,10.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
922,24/11/2023,Fri,3919.02,5145.02,4800.0,-239.35,0,,6.8,4.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
923,25/11/2023,Sat,5846.03,7272.67,6300.0,500.74,0,,1.7,1.0,Clear,Clear conditions throughout the day.,clear-day
924,26/11/2023,Sun,3088.3,3318.18,3300.0,359.38,0,,5.7,3.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
925,27/11/2023,Mon,2603.83,3210.4,3200.0,-719.4,0,,7.7,4.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
926,28/11/2023,Tue,2300.32,2760.13,3100.0,-525.99,0,,4.8,3.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
927,29/11/2023,Wed,2648.84,3460.22,3400.0,-1149.59,0,,2.3,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
928,30/11/2023,Thu,3144.15,3731.38,3600.0,-936.39,0,,-0.3,-5.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
929,01/12/2023,Fri,3232.52,4585.09,5000.0,-976.66,0,,-1.3,-5.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow
930,02/12/2023,Sat,5922.44,6843.67,7000.0,-764.24,0,,-0.6,-3.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
931,03/12/2023,Sun,2426.78,2709.11,3300.0,-782.82,0,,5.9,3.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
932,04/12/2023,Mon,3371.48,4096.53,3500.0,-399.11,0,,6.2,3.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
933,05/12/2023,Tue,2214.31,2996.16,3400.0,-1222.88,0,,4.6,2.1,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
934,06/12/2023,Wed,3572.61,4260.64,3500.0,-257.35,0,,3.0,-0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
935,07/12/2023,Thu,3536.98,4099.23,4000.0,-1073.39,0,,7.6,4.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
936,08/12/2023,Fri,4356.4,5612.04,5400.0,-271.43,0,,8.0,5.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
937,09/12/2023,Sat,6268.56,7179.48,6500.0,1300.91,0,,9.5,6.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
938,10/12/2023,Sun,3178.49,3864.9,3500.0,-248.52,0,,9.5,8.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
939,11/12/2023,Mon,3065.33,3632.46,0.0,-1020.11,0,,9.4,7.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
940,12/12/2023,Tue,3236.12,4280.71,0.0,-730.16,0,,9.1,7.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
941,13/12/2023,Wed,3187.12,3678.07,0.0,-1536.5,0,,6.1,2.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
942,14/12/2023,Thu,3354.92,3997.69,0.0,-2581.04,0,,6.1,3.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
943,15/12/2023,Fri,4006.28,4629.47,0.0,-2590.39,0,,7.4,5.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
944,16/12/2023,Sat,5698.16,6897.16,0.0,-1329.82,0,,9.4,7.8,Overcast,Cloudy skies throughout the day.,cloudy
945,17/12/2023,Sun,3024.26,3433.63,0.0,-363.88,0,,9.1,6.6,Overcast,Cloudy skies throughout the day.,cloudy
946,18/12/2023,Mon,4376.42,5047.05,5500.0,-2412.27,0,,10.3,9.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
947,19/12/2023,Tue,5121.61,6448.99,4500.0,1022.5,0,,8.9,7.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
948,20/12/2023,Wed,4624.07,5834.21,5300.0,-1247.31,0,,8.3,4.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
949,21/12/2023,Thu,5300.44,6532.05,5300.0,-46.22,0,,10.3,9.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
950,22/12/2023,Fri,4546.33,6062.11,5500.0,-1305.09,0,,9.3,5.9,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
951,23/12/2023,Sat,4316.98,5131.88,7000.0,2408.46,0,,9.2,5.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
952,24/12/2023,Sun,1303.71,1620.53,2000.0,1620.53,0,,11.2,11.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
953,25/12/2023,Mon,0.0,0.0,0.0,0.0,1,Christmas Day,10.1,9.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
954,26/12/2023,Tue,1576.52,1896.77,3500.0,-4425.05,1,Boxing Day,6.8,4.0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
955,27/12/2023,Wed,4824.37,5950.02,5200.0,-885.97,0,,9.9,8.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
956,28/12/2023,Thu,4502.57,5571.47,5400.0,-1658.5,0,,9.6,7.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
957,29/12/2023,Fri,5230.21,6313.05,6000.0,-1710.31,0,,7.8,4.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
958,30/12/2023,Sat,5385.2,6450.73,7000.0,2101.03,0,,8.2,6.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
959,31/12/2023,Sun,2849.39,3357.47,2600.0,3357.47,0,,6.9,2.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
960,01/01/2024,Mon,0.0,18.0,0.0,-5003.62,1,New Year's Day,8.2,5.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
961,02/01/2024,Tue,1913.83,2299.82,4200.0,-813.81,0,,10.7,9.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
962,03/01/2024,Wed,2106.17,2755.99,3200.0,-356.33,0,,8.6,5.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
963,04/01/2024,Thu,2298.81,2714.87,3200.0,110.01,0,,6.1,3.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
964,05/01/2024,Fri,3236.41,4421.86,5000.0,605.36,0,,5.4,2.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
965,06/01/2024,Sat,5304.39,6994.99,7000.0,-502.55,0,,4.7,2.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
966,07/01/2024,Sun,2460.28,2933.45,3300.0,-996.67,0,,2.5,-0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
967,08/01/2024,Mon,1510.27,1862.32,2200.0,-317.73,0,,1.0,-3.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain
968,09/01/2024,Tue,1282.32,1753.98,2500.0,-598.21,0,,0.4,-5.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain
969,10/01/2024,Wed,2023.37,2543.18,2800.0,-17.57,0,,0.8,-4.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
970,11/01/2024,Thu,1392.45,2391.83,2800.0,163.57,0,,2.4,-2.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
971,12/01/2024,Fri,2448.7,3351.85,4200.0,-545.61,0,,3.7,0.2,Overcast,Cloudy skies throughout the day.,cloudy
972,13/01/2024,Sat,5906.28,7189.33,7700.0,-641.81,0,,0.9,-1.0,Overcast,Cloudy skies throughout the day.,cloudy
973,14/01/2024,Sun,3109.53,3413.49,3400.0,96.81,0,,3.0,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
974,15/01/2024,Mon,1338.38,1811.62,2350.0,-547.54,0,,0.9,-1.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
975,16/01/2024,Tue,1502.89,1849.09,2200.0,-715.78,0,,0.9,-1.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
976,17/01/2024,Wed,1194.47,1727.03,2400.0,-476.21,0,,-0.7,-4.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
977,18/01/2024,Thu,1991.41,2601.28,2600.0,-36.76,0,,-1.5,-4.9,Clear,Clear conditions throughout the day.,clear-day
978,19/01/2024,Fri,2047.61,3295.73,3800.0,-588.19,0,,0.9,-2.4,Rain,Clear conditions throughout the day with morning rain.,rain
979,20/01/2024,Sat,4885.58,6345.54,7500.0,-1037.86,0,,4.4,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
980,21/01/2024,Sun,2319.78,2710.46,3300.0,-501.31,0,,9.4,7.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
981,22/01/2024,Mon,981.21,1514.85,1800.0,-321.0,0,,7.8,4.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
982,23/01/2024,Tue,805.97,1145.19,2000.0,-870.9,0,,9.6,8.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
983,24/01/2024,Wed,1469.34,1882.68,2500.0,-754.57,0,,8.5,5.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
984,25/01/2024,Thu,1766.92,2122.32,2200.0,-22.25,0,,10.2,9.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
985,26/01/2024,Fri,2345.47,3799.35,4200.0,-65.73,0,,7.0,4.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
986,27/01/2024,Sat,4747.86,5883.81,8000.0,-2248.05,0,,5.2,2.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
987,28/01/2024,Sun,2768.83,3197.11,3400.0,-308.4,0,,8.5,5.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
