No,Date,DateOfWeek,Eat In,TotalNetSales,Forecast,VarianceÂ (NetÂ SalesÂ -Â LastÂ Year),Is_Holiday,Holiday_Name,temp,feelslike,conditions,description,icon
683,30/03/2023,Thu,2672.71,3191.68,3000.0,324.7,0,,11.3,10.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
684,31/03/2023,Fri,4057.53,4983.23,5000.0,1063.82,0,,10.1,8.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
685,01/04/2023,Sat,6951.29,7580.32,7500.0,1399.65,0,,9.5,7.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
686,02/04/2023,Sun,3086.07,3316.67,3400.0,156.73,0,,7.6,5.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
687,03/04/2023,Mon,2435.03,2802.49,4000.0,3.3,0,,6.0,4.1,Clear,Clear conditions throughout the day.,clear-day
688,04/04/2023,Tue,2687.18,3208.71,3200.0,415.68,0,,6.4,5.1,Clear,Clear conditions throughout the day.,clear-day
689,05/04/2023,Wed,3925.35,4484.98,3600.0,2138.82,0,,7.5,6.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
690,06/04/2023,Thu,3314.26,4305.82,3600.0,1435.33,0,,9.6,8.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
691,07/04/2023,Fri,2889.53,3266.96,3600.0,-1293.64,1,Good Friday,7.6,7.1,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain
692,08/04/2023,Sat,3263.73,3897.16,6500.0,-2011.04,0,,8.4,8.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
693,09/04/2023,Sun,0.0,0.0,0.0,-2567.19,0,,9.4,8.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
694,10/04/2023,Mon,4044.78,4425.19,4500.0,1156.88,0,,10.6,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
695,11/04/2023,Tue,2868.29,3322.22,3800.0,-139.33,0,,8.1,5.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
696,12/04/2023,Wed,4067.67,4781.22,3800.0,1035.2,0,,6.4,2.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
697,13/04/2023,Thu,3311.77,3760.16,3800.0,29.47,0,,7.9,5.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
698,14/04/2023,Fri,4616.2,5495.01,4300.0,1874.4,0,,6.7,4.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
699,15/04/2023,Sat,4395.24,5274.42,6000.0,1870.53,0,,8.3,7.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
700,16/04/2023,Sun,3220.27,3569.17,2200.0,3569.17,0,,10.1,10.0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain
701,17/04/2023,Mon,2033.42,2411.29,2200.0,-1520.03,0,,11.5,11.4,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
702,18/04/2023,Tue,1725.33,2270.09,2200.0,125.93,0,,9.4,7.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
703,19/04/2023,Wed,1804.52,2490.58,2700.0,-281.03,0,,10.2,8.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
704,20/04/2023,Thu,2108.5,2609.24,2800.0,-417.14,0,,8.9,6.9,Rain,Clear conditions throughout the day with late afternoon rain.,rain
705,21/04/2023,Fri,3250.75,4304.74,4000.0,938.63,0,,6.6,4.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
706,22/04/2023,Sat,5281.99,6275.08,6200.0,2685.33,0,,6.5,5.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
707,23/04/2023,Sun,2852.62,3114.42,3300.0,1298.6,0,,9.5,8.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
708,24/04/2023,Mon,1953.07,2682.64,2200.0,884.44,0,,6.9,5.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
709,25/04/2023,Tue,1616.61,2153.72,2200.0,-32.09,0,,6.9,5.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
710,26/04/2023,Wed,2012.91,2349.05,2800.0,-440.29,0,,8.2,6.9,Overcast,Cloudy skies throughout the day.,cloudy
711,27/04/2023,Thu,2391.53,2988.12,3500.0,63.37,0,,9.2,8.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
712,28/04/2023,Fri,3062.82,4069.94,4800.0,476.65,0,,13.0,13.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
713,29/04/2023,Sat,5060.41,5985.34,6800.0,636.4,0,,12.1,11.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
714,30/04/2023,Sun,3911.22,4092.86,3500.0,454.9,0,,10.4,10.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
715,01/05/2023,Mon,3202.1,3899.62,4200.0,-155.38,1,May Day,12.7,12.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
716,02/05/2023,Tue,1401.67,2012.37,3500.0,-53.29,0,,11.4,11.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
717,03/05/2023,Wed,1445.66,1715.99,2600.0,-855.99,0,,11.5,10.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
718,04/05/2023,Thu,1659.21,2298.19,2600.0,-194.04,0,,11.7,10.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
719,05/05/2023,Fri,2320.59,3135.38,4800.0,-524.45,0,,13.4,13.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
720,06/05/2023,Sat,5386.19,5994.7,5000.0,1726.79,0,,12.6,12.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
721,07/05/2023,Sun,2192.26,2411.38,3500.0,417.11,0,,13.1,13.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
